Meta -1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Meta -2,-1,-1,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,-1,0,1,1,2,2,3,3,3
Meta -3,-1,0,-1,-1,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,0,-1,0,0,-3,-2,-2,-2,-2,-1,-1,-1,0,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,1,1,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,0,0,1,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,2,2,2,2,2,-1,-1,-1,-1,0,0,0,1,1,1,2,0,0,0,1,1,1,2,2,2,2,0,0,1,1,1,1,2,2,2,2,3,3,-1,0,0,1,-1,0,0,0,1,1,1,2,2,0,0,1,1,1,2,2,2,2,3,3,3,0,1,2,3,3,0,0,1,1,2,2,-1,1,3
Meta -4,-1,0,-1,0,-1,-3,-2,-1,0,-2,-1,0,-1,0,-2,0,-2,-1,0,-1,0,-1,0,1,-1,-3,-2,-1,0,-2,-1,0,0,-2,-1,-2,-1,0,-1,0,1,-2,-1,0,1,-1,0,1,1,1,-2,-1,0,0,-3,-2,-1,-2,-1,0,-1,0,1,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,2,-1,0,1,0,1,2,0,1,2,1,2,0,-2,-1,0,-1,0,1,0,1,2,2,-1,0,1,0,1,2,0,1,2,3,-1,0,-1,0,1,2,0,1,2,3,0,3,-1,0,1,1,-1,0,1,2,0,1,2,1,2,0,1,0,1,2,0,1,2,3,1,2,3,0,1,2,-1,3,0,0,0,1,0,2,0,1,1
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,1,1,1,1,1,45,25,4,4,13,13,1,6,3,2,1,10,3,2,11,1,6,1,0,0,6,0,0,0,0,0,2,1,0,1,19,3,2,2,0,0,0,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,0,1,0,29,5,3,1,1,0,0,1,3,0,0,12,1,0,3,0,2,0,0,1,24,2,0,2,11,1,0,21,11,28,267,63,17,62,1,1,17,4,0,9,62,4,2,0,0,0,0,0,0,2,0,1,16,4,3,5,1,0,0,0,1,7,4,0,13,92,9,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,7,0,1,1,2,2,0,5,3,3,71,13,3,10,1,1,4,2,1,1,37,0,0,1,1,1,1,1,1,5,5,7,67,9,5,32,0,1,2,1,10,72,33,3,98,1058,122,3,33,104,12,4,1,26,9,20,97,4,0,5,7,1,3,0,1,0,0,0,32,3,2,7,1,0,1,21,4,21,95,6,0,3,1,1,1,0,0,1,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,4,0,1,3,116,14,0,2,11,0,0,0,9,1,6,20,1,1,0,1,0,1,0,0,3,1,4,93,8,8,18,1,0,2,77,23,76,384,59,3,28,35,2,0,3,1,4,23,4,4,4,30,1,1,2,1,3,0,0,1,4,1,1,4,23,3,1,3,4,0,1,5,1,4,7,27,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,9,2,0,2,0,1,0,7,0,4,37,3,0,1,3,0,0,0,0,1,3,0,0,1,4,0,0,0,0,12,2,3,0,7,1,0,3,21,1,3,2,10,2,6,20,4,6,22,44,1,1,2,0,0,1,2,0,1,0,1,0,1,1,1,1,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0
