Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Meta -2,-2,-2,-1,0,0,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,-3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,2,2,2,3,3,3,3,3
Meta -3,-1,0,-1,0,1,-2,-2,0,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,1,3,0,-1,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,0,1,-1,-2,-2,-1,-1,-1,0,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,1,2,2,1,0,-1,0,0,-2,-2,-2,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,0,0,0,0,1,1,-3,0,0,0,1,1,1,1,1,1,1,2,2,3,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,3,0,1,0,1,2,2,2,3,3,3
Meta -4,-1,1,-1,0,1,-1,0,1,-2,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-1,-1,-1,0,0,0,0,-1,0,0,-2,-2,-1,-1,-2,-1,-1,-1,0,-2,-1,-1,0,0,1,0,-1,0,0,1,1,0,-1,-2,-2,-2,-2,-2,-1,-1,0,-2,-2,-1,-1,-1,0,0,3,-1,-3,-2,-2,-2,-1,-1,0,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,1,-2,-2,-2,-1,-1,-1,0,0,0,1,1,-2,-1,0,-2,-2,-1,-1,-1,0,0,0,1,-1,0,0,0,1,0,1,1,0,1,-1,-2,-2,-1,-1,0,0,0,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,1,0,1,-1,-2,-1,-1,1,-2,-2,-1,-1,-1,0,0,0,1,-3,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,2,2,-1,0,0,0,0,1,1,1,2,2,2,0,1,0,-2,0,0,1,1,2,0,0,0,1,1,1,2,2,2,0,1,1,1,2,2,2,0,2,2,2,1,0,-1,0,0,-2,-1,0,-1,-1,-1,-1,0,0,1,1,-1,0,0,1,1,1,2,2,-1,0,-2,-2,0,0,0,1,1,1,1,2,-1,-1,0,0,0,1,1,1,1,2,2,2,0,0,1,1,1,1,2,2,2,2,0,1,1,-3,0,0,1,1,1,2,2,3,0,1,1,2,2,2,3,3,3,-1,0,0,1,0,1,0,-1,0,1,0,0,1,1,1,2,2,1,2,3,0,0,0,1,1,0,0,1,1,1,2,0,0,1,1,1,2,2,2,2,3,1,2,3,0,0,3,0,1,0,0,0,1,2,2,2,3
Meta -5,-1,1,-2,0,1,-1,1,1,-1,1,-2,0,-3,-2,-1,0,-2,-1,0,-1,0,-1,-2,-1,0,-2,-1,0,1,0,-1,0,-2,-1,-1,0,-2,-2,-1,0,0,-1,-1,1,0,1,1,-1,-1,0,1,1,1,0,-1,0,-3,-2,-1,0,-2,-1,0,-2,-1,-2,-1,0,0,0,1,-1,-2,-2,-1,0,-2,-1,0,-1,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,1,-2,-1,0,-2,-1,0,-1,0,1,0,1,-2,-1,0,-2,-1,-2,-1,0,-1,0,1,1,-1,-1,0,1,1,0,0,1,0,1,-1,-2,-1,-1,0,-1,0,0,-2,-1,0,3,-2,-1,0,-3,-2,-1,0,1,-1,0,-1,0,-1,0,1,0,1,-1,-2,-1,0,0,-1,0,-2,-1,0,-1,0,1,0,-1,-2,-1,1,-2,-1,0,1,-3,-2,-1,0,1,2,-1,0,1,2,0,1,0,-2,0,1,2,0,1,2,0,1,2,0,2,0,0,0,1,0,1,2,-2,0,1,0,1,2,0,1,2,0,0,1,3,0,1,2,0,2,1,2,1,0,-1,-1,0,-2,-1,0,-1,-2,-1,0,0,1,1,2,0,0,2,0,1,2,2,2,-1,0,-2,-1,-1,0,1,-1,0,1,2,2,-1,0,-2,0,1,-1,0,1,2,0,1,2,0,1,-3,0,1,2,0,1,2,3,0,0,1,0,-1,1,0,1,2,1,2,3,0,1,2,0,1,2,1,3,2,0,0,1,0,0,1,0,-1,0,1,0,2,0,1,2,1,2,1,2,3,-1,0,1,0,1,0,1,0,1,2,2,0,1,0,1,2,0,1,2,3,2,0,0,3,0,0,3,0,2,0,0,0,0,0,1,2,2
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,1,0,0,1,1,0,1,1,1,0,1,0,11,7,4,1,3,5,1,5,1,1,5,2,1,2,5,1,1,1,7,0,0,1,1,1,3,6,3,2,1,1,1,4,1,1,1,1,7,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,2,12,4,0,2,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,1,0,0,0,1,0,0,0,1,0,1,10,1,1,0,5,3,0,3,1,0,7,0,0,0,0,0,0,0,2,1,1,1,0,1,1,10,4,2,0,0,0,4,0,0,0,0,4,0,0,1,0,1,1,1,13,7,2,1,6,2,2,1,1,10,2,0,4,0,1,1,18,5,2,3,12,3,0,1,17,13,3,24,166,28,3,15,23,1,0,1,1,1,2,12,8,2,31,3,1,1,1,1,1,1,1,0,8,5,1,6,1,0,3,5,39,4,3,1,0,0,0,1,0,1,0,2,0,0,1,0,1,0,1,0,1,0,0,0,1,9,4,1,0,5,1,0,0,7,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,2,0,0,1,8,52,5,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,1,0,0,3,2,0,0,1,1,1,0,2,1,0,8,38,10,0,5,7,0,1,0,0,0,0,1,0,1,12,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,3,2,21,0,0,0,0,2,1,1,1,1,0,0,1,1,0,1,0,3,2,1,4,1,1,1,2,46,8,0,1,8,5,0,3,16,1,1,0,1,1,1,1,1,4,1,6,47,9,5,17,0,1,1,1,2,1,5,53,20,1,1,3,69,675,69,3,1,14,62,10,2,1,1,1,10,4,1,13,64,3,1,4,5,2,1,1,1,9,2,2,2,1,0,13,2,13,61,4,1,1,1,2,1,2,1,1,1,3,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,15,1,3,0,0,1,1,0,2,0,0,2,0,0,1,0,0,16,0,0,1,1,0,0,0,0,0,15,6,1,10,61,1,1,2,3,1,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70,8,0,0,1,11,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,1,0,4,1,0,0,1,1,2,0,5,9,2,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,0,2,1,0,0,1,2,2,57,10,9,1,1,4,0,2,13,1,1,1,1,1,1,1,5,45,9,1,3,15,1,0,1,1,2,40,13,1,41,226,36,2,14,22,2,2,1,1,12,3,2,3,19,2,3,1,1,1,0,1,1,11,2,1,2,0,2,3,1,1,7,15,1,1,0,0,5,0,0,1,1,1,1,0,1,2,0,1,11,1,0,2,1,2,1,0,3,0,0,0,0,0,0,4,0,1,1,0,1,5,1,3,3,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,4,1,0,3,17,0,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,10,1,1,1,1,0,0,3,1,5,1,4,9,1,1,1,0,3,0,1,7,1,1,1,3,1,6,10,2,2,8,2,1,13,1,6,12,19,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
